KD.geneSymbol	perturb_id	Description	motif	motif.TFs	motif.TFs.tpm	activity.diff	activity.mean.KD	activity.mean.NC	tvalue	pvalue	fdr	ZScore
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	AHR_ARNT_ARNT2	AHR|ARNT|ARNT2	121.701891334844	-0.0257518685620875	-0.0228993587777	0.0028525097843875	-2.34641566816006	0.250046470609339	0.545555935874921	-1.5910286359137
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	AHR_ARNT_ARNT2	AHR|ARNT|ARNT2	121.701891334844	-0.0114745321911165	-0.008622022406729	0.0028525097843875	-1.35245676184446	0.39643026632886	0.77059103021792	-0.590863360197661
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	ARNT_ARNT2_BHLHB2_MAX_MYC_USF1	ARNT|ARNT2|BHLHB2|MAX|MYC|USF1	248.317401828355	0.0452488012385675	0.03753592421205	-0.0077128770265175	2.18491089986786	0.268452631657776	0.766227099401115	1.29308251833328
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	ARNT_ARNT2_BHLHB2_MAX_MYC_USF1	ARNT|ARNT2|BHLHB2|MAX|MYC|USF1	248.317401828355	0.0077108916000175	-1.98542649999973e-06	-0.0077128770265175	0.313861546467441	0.805692483974399	0.878937255244799	-0.0615126317919946
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	ATF4	ATF4	273.334788775695	0.092238389810582	0.0855635295076	-0.00667486030298195	1.73466082632244	0.332456545919588	0.643464282425009	3.3227797438204
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	ATF4	ATF4	273.334788775695	0.050887410307782	0.0442125500048	-0.00667486030298195	1.79084193942259	0.322573158231354	0.766227099401115	1.69370957546569
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	ATF5_CREB3	ATF5|CREB3	133.315071897572	0.0419487187256805	0.03887776390675	-0.00307095481893047	1.62082187565816	0.350711536221245	0.643683944870722	1.83274402241276
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	ATF5_CREB3	ATF5|CREB3	133.315071897572	0.0198539219948005	0.01678296717587	-0.00307095481893047	1.41725179607518	0.387297285013575	0.77059103021792	0.75559557779801
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	ATF6	ATF6	43.5205799997796	0.0269485093808556	0.03150475818204	0.00455624880118443	0.687262182242457	0.615923670194482	0.84869726091792	1.1388456458024
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	ATF6	ATF6	43.5205799997796	0.00750694827681557	0.012063197078	0.00455624880118443	0.225071488681357	0.858747344585034	0.893110487832939	0.453780222674268
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	BACH2	BACH2	0.399242550093915	0.0637569322069295	0.0543766262164	-0.00938030599052952	2.19278269210699	0.270214844842594	0.766227099401115	1.82060744851086
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	BACH2	BACH2	0.399242550093915	0.0481176073379795	0.03873730134745	-0.00938030599052952	3.29955169813056	0.178651838672317	0.487232287288138	1.27842214672911
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	BPTF	BPTF	28.8685698111376	-0.0597971642435458	-0.05627082715165	0.00352633709189579	-2.49260559969154	0.234004808325427	0.766227099401115	-1.3981495712371
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	BPTF	BPTF	28.8685698111376	0.0275464805457542	0.03107281763765	0.00352633709189579	5.98835243190523	0.00084665770953804	0.0145141321635093	0.849524655362676
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	CREB1	CREB1	40.880423938159	0.0278990739340527	0.026341796189305	-0.00155727774474773	0.938576287512635	0.519693955705217	0.71697399001648	1.37990082473426
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	CREB1	CREB1	40.880423938159	0.00187920423276273	0.000321926488015	-0.00155727774474773	0.240038154724195	0.848384572337795	0.93400136404161	-0.0415001584664456
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	CTCF	CTCF	44.9678831244902	-0.0144507185021889	-0.01231380065295	0.00213691784923894	-0.46900871403208	0.720329041282378	0.828211741760736	-0.552692190558865
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	CTCF	CTCF	44.9678831244902	0.00198258748597606	0.004119505335215	0.00213691784923894	0.246020049617993	0.842893209677644	0.93400136404161	0.174166515556604
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	DBP	DBP	5.01250552696903	-0.0584038036541796	-0.0462144473432	0.0121893563109796	-6.16235948313285	0.0810283776225783	0.607712832169337	-1.34322741326774
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	DBP	DBP	5.01250552696903	-0.0265596513652796	-0.0143702950543	0.0121893563109796	-0.85999254205488	0.546386244157324	0.729490126286594	-0.328773073919314
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	E2F1..5	E2F1|E2F2|E2F3|E2F4|E2F5	119.201146457647	-0.151189483273062	-0.13577331756825	0.0154161657048124	-0.904277485620671	0.531873585533579	0.809803808493338	-1.95631893782104
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	E2F1..5	E2F1|E2F2|E2F3|E2F4|E2F5	119.201146457647	0.0187603544390376	0.03417652014385	0.0154161657048124	0.389542629822408	0.763015182032228	0.855717961157638	0.554811887515979
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	EBF1	EBF1	13.2556023030767	-0.0271106374156264	-0.02525785617315	0.00185278124247641	-4.40371251341419	0.134634695741835	0.460563033664425	-2.2686780439599
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	EBF1	EBF1	13.2556023030767	0.000320559464328587	0.002173340706805	0.00185278124247641	0.0416784514273652	0.973349983303103	0.976031193974633	0.249339745970578
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	EGR1..3	EGR1|EGR2|EGR3	76.6336099569527	-0.0335169657146655	-0.0274003399397	0.00611662577496553	-2.49806412652728	0.23752803707526	0.53996685344244	-1.43025683772332
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	EGR1..3	EGR1|EGR2|EGR3	76.6336099569527	-0.0172524203373655	-0.0111357945624	0.00611662577496553	-0.807614407840962	0.566452788790817	0.81896788740841	-0.560103113259941
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	EHF	EHF	0.00480003594024199	-0.0062245245139315	-0.00687973952545	-0.000655215011518497	-0.252397280194985	0.842442572154976	0.893110487832939	-0.429684887327345
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	EHF	EHF	0.00480003594024199	-0.0013726028642965	-0.002027817875815	-0.000655215011518497	-0.117734219748555	0.925057472745045	0.965277362864395	-0.118791106587559
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	ELF1,2,4	ELF1|ELF2|ELF4	65.8233845539516	0.028411551949373	0.0239463113034	-0.00446524064597303	4.73315394930988	0.117414147962221	0.766227099401115	1.39407566399041
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	ELF1,2,4	ELF1|ELF2|ELF4	65.8233845539516	0.024863370522173	0.0203981298762	-0.00446524064597303	1.08779967357049	0.47242911316975	0.708643669754625	1.17446787361997
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	ELK1,4_GABP{A,B1}	ELK1|ELK4|GABPA|GABPB1	147.005911736147	0.0231845362659003	0.0188547532347	-0.00432978303120034	13.8700490994635	2.87416815934488e-20	3.44900179121386e-18	0.777812032506972
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	ELK1,4_GABP{A,B1}	ELK1|ELK4|GABPA|GABPB1	147.005911736147	0.0162839924163503	0.01195420938515	-0.00432978303120034	0.461141081195674	0.724685274040644	0.828211741760736	0.462720222548857
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	EP300	EP300	32.2328051328336	-0.0617424593694626	-0.0532608932094	0.00848156616006264	-15.9230621680666	0.0211093976105991	0.168875180884792	-2.44735085172621
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	EP300	EP300	32.2328051328336	-0.0222037483444711	-0.0137221821844085	0.00848156616006264	-1.54567499440626	0.362806329128472	0.77059103021792	-0.561402003727708
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	ESR1	ESR1	1.01461238516292	-0.0373284006292014	-0.03560968768095	0.00171871294825144	-5.73422582431107	0.0720370769563654	0.432222461738193	-1.31433935694941
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	ESR1	ESR1	1.01461238516292	0.00391995257994856	0.0056386655282	0.00171871294825144	0.219423891016949	0.861629170795142	0.939959095412883	0.263184785537511
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	ESRRA	ESRRA	17.4718889198922	-0.00572256028049771	-0.013023297772295	-0.00730073749179729	-0.624167952948221	0.625890340875073	0.766396335765396	-0.498213639425097
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	ESRRA	ESRRA	17.4718889198922	0.0202420904072473	0.01294135291545	-0.00730073749179729	5.01401229727858	0.0030465130803254	0.0406201744043386	0.282046709128871
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	ETS1,2	ETS1|ETS2	250.968934640689	0.0206520983169349	0.017413164871065	-0.00323893344586991	1.02593577443252	0.490793951726501	0.71697399001648	1.12453502171284
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	ETS1,2	ETS1|ETS2	250.968934640689	0.0184877584330849	0.015248824987215	-0.00323893344586991	0.861128589167639	0.546617570733003	0.809803808493338	0.975580748361996
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	EWSR1-FLI1	EWSR1|FLI1	354.376238827859	0.0425581088471006	0.03934681162065	-0.0032112972264506	3.73785962551482	0.156138915430015	0.46801341770796	2.20851163108783
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	EWSR1-FLI1	EWSR1|FLI1	354.376238827859	0.0183790255447006	0.01516772831825	-0.0032112972264506	1.64938587796029	0.336920018844037	0.766227099401115	0.791744479503101
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	FEV	FEV	0.000902695616524583	-0.0334565749819841	-0.02938754741345	0.00406902756853412	-17.0020390476867	1.23584607193487e-31	7.41507643160921e-30	-1.2753617545193
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	FEV	FEV	0.000902695616524583	0.00539247982494088	0.009461507393475	0.00406902756853412	0.370425753083582	0.772503504492473	0.878917027597526	0.517292212576387
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	FOSL2	FOSL2	71.202113314444	0.0879882575242327	0.0751246105125	-0.0128636470117327	1.93248170221005	0.302491811997585	0.766227099401115	1.85182221905362
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	FOSL2	FOSL2	71.202113314444	0.0308121404248327	0.0179484934131	-0.0128636470117327	0.825264591604449	0.559454349982995	0.729490126286594	0.37659945561283
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	FOS_FOS{B,L1}_JUN{B,D}	FOS|FOSB|FOSL1|JUNB|JUND	678.927626038866	0.0919506379402265	0.0708630746994	-0.0210875632408265	2.72068730433634	0.21647516767483	0.536610325311901	1.1352916906548
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	FOS_FOS{B,L1}_JUN{B,D}	FOS|FOSB|FOSL1|JUNB|JUND	678.927626038866	0.0762398769196065	0.05515231367878	-0.0210875632408265	1.59052334633211	0.353882557166468	0.77059103021792	0.865781082590675
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	FOXN1	FOXN1	0.00243997843855722	-0.029858538593715	-0.0263034710619	0.00355506753181497	-0.929250110173759	0.522973150431045	0.809803808493338	-1.68456425386272
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	FOXN1	FOXN1	0.00243997843855722	0.00577492698983503	0.00932999452165	0.00355506753181497	0.257423321719539	0.839406512894206	0.893110487832939	0.634391214171547
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	FOX{D1,D2}	FOXD1|FOXD2	48.6392040782296	-0.0335922352633328	-0.0279098452053	0.00568239005803282	-0.519947983746537	0.694063935620143	0.808618177421526	-0.53780941847852
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	FOX{D1,D2}	FOXD1|FOXD2	48.6392040782296	-0.0106336548939828	-0.00495126483595	0.00568239005803282	-0.190343944679811	0.879938281510025	0.951284628659487	-0.0806671962320168
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	GATA1..3	GATA1|GATA2|GATA3	29.1471372495207	0.0349390130484449	0.029670989541965	-0.00526802350647994	0.945651792102926	0.516920930203099	0.809803808493338	1.12603511969358
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	GATA1..3	GATA1|GATA2|GATA3	29.1471372495207	-0.00175723913210006	-0.00702526263858	-0.00526802350647994	-0.151982240143914	0.902669015985511	0.917968490832724	-0.363362785441599
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	GFI1	GFI1	0.00284658361230514	-0.018427666079027	-0.014795760938015	0.00363190514101201	-3.52351100154599	0.142089260355919	0.460563033664425	-0.57490873852808
A1BG-AS1	ASO_G0268895_01	Targeted lncRNA	GFI1	GFI1	0.00284658361230514	-0.016727168402962	-0.01309526326195	0.00363190514101201	-0.490730309205453	0.709302336216695	0.853086950248151	-0.504396076042917
A1BG-AS1	ASO_G0268895_03	Targeted lncRNA	GLI1..3	GLI1|GLI2|GLI3	64.4425888396153	-0.0373067004788415	-0.0347708818526	0.00253581862624149	-2.0325187714534	0.289456906286805	0.592689204308152	-2.31234868128515
